Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan(ton),Plastik(%),Estimasi_Timbulan_Plastik_Ton,Capaian_Timbulan_A,Capaian_Pengurangan_B,Capaian_Penanganan_C,Capaian_Terkelola_BC,Capaian_DaurUlang_D,Recycling_Rate,Estimasi_DaurUlang_Plastik_Ton,Estimasi_Plastik_Terkelola_Ton,TPS3R_SampahMasuk,TPS3R_SampahTerkelola,TPA_SampahMasuk,TPA_SampahLandfill,Penduduk
2024,Aceh,Kab. Aceh Selatan,34963.35,16.33,5709.515054999999,34963.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12775.0,12775.0,
2024,Aceh,Kab. Aceh Tenggara,41859.66,25.0,10464.915,41859.66,0.0,365.0,365.0,0.0,0.87,0.0,91.25,,,10950.0,8760.0,
2024,Aceh,Kab. Aceh Timur,67363.09,14.0,9430.8326,67363.09,1.88,29483.97,29485.85,0.0,1.27,0.0,4128.019,,,28626.23,28545.93,
2024,Aceh,Kab. Aceh Tengah,41601.58,26.0,10816.410800000001,41601.58,0.0,1166.18,1166.18,0.0,2.8,0.0,303.20680000000004,,,24090.0,23360.0,
2024,Aceh,Kab. Aceh Barat,37432.21,24.0,8983.730399999999,37432.21,1.49,25261.65,25263.14,0.0,4.1,0.0,6063.1536,,,23728.65,23527.9,
2024,Aceh,Kab. Aceh Besar,54434.93,21.6,11757.944880000001,54434.93,4.22,1005.17,1009.39,0.0,1.85,0.0,218.02824,2920.0,35.99,36601.47,36596.0,
2024,Aceh,Kab. Pidie,66071.86,35.7,23587.65402,66071.86,0.0,22239.89,22239.89,0.0,11.82,0.0,7939.640730000001,,,14433.01,14433.01,
2024,Aceh,Kab. Aceh Utara,112171.8,40.0,44868.72,112171.8,0.0,19316.68,19316.68,0.0,1.11,0.0,7726.6720000000005,,,18067.5,17702.5,
2024,Aceh,Kab. Simeulue,16673.93,26.2,4368.56966,16673.93,0.0,624.64,624.64,0.0,3.75,0.0,163.65568,,,6504.3,6504.3,
2024,Aceh,Kab. Aceh Singkil,20039.08,22.0,4408.5976,20039.08,0.0,1248.2,1248.2,0.0,6.23,0.0,274.604,,,4197.5,4015.0,
2024,Aceh,Kab. Bireuen,59046.49,18.9,11159.786609999997,59046.49,0.0,10113.35,10113.35,0.0,17.13,0.0,1911.4231499999999,74.83,74.83,27615.9,27615.9,
2024,Aceh,Kab. Aceh Barat Daya,29210.59,30.0,8763.177,29210.59,388.73,1799.45,2188.18,388.73,7.49,116.619,656.454,,,6570.0,6570.0,
2024,Aceh,Kab. Gayo Lues,15308.98,32.0,4898.8736,15308.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10950.0,10585.0,
2024,Aceh,Kab. Aceh Jaya,18373.01,14.0,2572.2214,18373.01,0.0,312.81,312.81,0.0,1.7,0.0,43.793400000000005,,,11639.85,11639.85,
2024,Aceh,Kab. Nagan Raya,25763.31,35.0,9017.1585,25763.31,2.94,4963.64,4966.58,0.0,19.27,0.0,1738.3029999999999,40.15,40.15,13249.5,13216.65,
2024,Aceh,Kab. Aceh Tamiang,45127.58,0.0,0.0,45127.58,56.89,11980.4,12037.28,0.0,5.24,0.0,0.0,,,9617.75,4945.75,
2024,Aceh,Kab. Bener Meriah,25117.26,18.0,4521.1068,25117.26,111.42,14563.14,14674.55,99.65,7.23,17.937,2641.419,,,12775.0,9490.0,
2024,Aceh,Kab. Pidie Jaya,30143.46,26.0,7837.2996,30143.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6022.5,5657.5,
2024,Aceh,Kota Banda Aceh,94679.61,25.75,24379.999575,94679.61,112.67,15282.91,15395.58,110.63,16.26,28.487225,3964.3618500000002,54.89,53.190000000000005,76696.67,76149.17,
2024,Aceh,Kota Sabang,6354.94,20.0,1270.988,6354.94,0.0,4657.4,4657.4,0.0,0.0,0.0,931.48,,,4657.4,2102.4,
2024,Aceh,Kota Lhokseumawe,36571.41,10.0,3657.1410000000005,36571.41,0.0,1660.75,1660.75,0.0,4.54,0.0,166.07500000000002,,,28470.0,28029.44,
2024,Aceh,Kota Langsa,35538.23,15.0,5330.7345000000005,35538.23,512.73,26242.13,26754.86,6.57,3.31,0.9855,4013.229,203.67,24.82,25073.67,24996.62,
2024,Aceh,Kota Subulussalam,17843.03,15.0,2676.4545,17843.03,0.0,91.25,91.25,0.0,0.51,0.0,13.6875,,,10950.0,10767.5,
2024,Sumatera Utara,Kab. Nias,21606.39,55.0,11883.514500000001,21606.39,0.0,419.75,419.75,0.0,1.94,0.0,230.8625,73.0,73.0,,,
2024,Sumatera Utara,Kab. Langkat,194674.76,7.0,13627.233200000002,194674.76,0.0,19032.92,19032.92,0.0,0.76,0.0,1332.3044,,,32383.17,30251.97,
2024,Sumatera Utara,Kab. Simalungun,189055.4,20.46,38680.73484,189055.4,0.0,140.53,140.53,0.0,0.07,0.0,28.752438,,,49640.0,49621.75,
2024,Sumatera Utara,Kab. Dairi,48265.41,22.0,10618.390200000002,48265.41,0.0,73.0,73.0,0.0,0.15,0.0,16.06,,,9636.0,8562.9,
2024,Sumatera Utara,Kab. Toba,40278.85,9.39,3782.1840150000003,40278.85,6.57,1119.01,1125.58,0.0,2.78,0.0,105.691962,,,15056.25,15056.25,
2024,Sumatera Utara,Kab. Humbang Hasundutan,22414.65,13.0,2913.9045,22414.65,0.0,15018.38,15018.38,0.0,8.01,0.0,1952.3894,,,13222.12,11616.12,
2024,Sumatera Utara,Kab. Samosir,20888.37,31.0,6475.3947,20888.37,0.0,1149.75,1149.75,0.0,5.5,0.0,356.4225,,,10220.0,8212.5,
2024,Sumatera Utara,Kota Medan,632149.41,0.0,0.0,632149.41,12617.75,590572.56,603190.31,12516.95,23.46,0.0,0.0,255.5,194.98,454771.73,364142.23,
2024,Sumatera Utara,Kota Sibolga,15069.44,16.24,2447.277056,15069.44,6.02,70.08,76.1,3.65,0.49,0.59276,12.358639999999998,80.3,64.24,12045.0,11690.95,
2024,Sumatera Utara,Kota Tanjung Balai,33982.78,13.98,4750.792644,33982.78,0.0,1300.77,1300.77,0.0,3.83,0.0,181.847646,,,21425.5,21425.5,
2024,Sumatera Barat,Kab. Pesisir Selatan,57526.37,19.0,10930.0103,57526.37,63.0,22741.33,22804.33,62.78,16.67,11.9282,4332.822700000001,,,13213.0,12848.0,
2024,Sumatera Barat,Kab. Solok,59185.48,22.0,13020.805600000002,59185.48,106.9,15186.1,15293.0,91.25,12.86,20.075,3364.46,,,7665.0,7555.5,
2024,Sumatera Barat,Kab. Solok,59185.48,22.0,13020.805600000002,59185.48,106.9,15186.1,15293.0,91.25,12.86,20.075,3364.46,,,17416.01,17416.01,
2024,Sumatera Barat,Kab. Solok,59185.48,22.0,13020.805600000002,21438.24,37.59,21272.18,21309.77,13.51,18.05,2.9722,4688.1494,,,7665.0,7555.5,
2024,Sumatera Barat,Kab. Solok,59185.48,22.0,13020.805600000002,21438.24,37.59,21272.18,21309.77,13.51,18.05,2.9722,4688.1494,,,17416.01,17416.01,
2024,Sumatera Barat,Kab. Solok,59185.48,20.72,12263.231456,59185.48,106.9,15186.1,15293.0,91.25,12.86,18.907,3168.7096,,,7665.0,7555.5,
2024,Sumatera Barat,Kab. Solok,59185.48,20.72,12263.231456,59185.48,106.9,15186.1,15293.0,91.25,12.86,18.907,3168.7096,,,17416.01,17416.01,
2024,Sumatera Barat,Kab. Solok,59185.48,20.72,12263.231456,21438.24,37.59,21272.18,21309.77,13.51,18.05,2.7992719999999998,4415.384344,,,7665.0,7555.5,
2024,Sumatera Barat,Kab. Solok,59185.48,20.72,12263.231456,21438.24,37.59,21272.18,21309.77,13.51,18.05,2.7992719999999998,4415.384344,,,17416.01,17416.01,
2024,Sumatera Barat,Kab. Sijunjung,36565.78,19.3,7057.19554,36565.78,349.0,7917.27,8266.27,347.85,22.6,67.13505,1595.39011,4131.8,4131.8,7913.2,7913.2,
2024,Sumatera Barat,Kab. Tanah Datar,47943.05,6.0,2876.583,47943.05,1305.5,27115.58,28421.07,1303.78,21.82,78.2268,1705.2641999999998,587.65,587.65,17960.5,17834.57,
2024,Sumatera Barat,Kab. Padang Pariaman,83798.34,43.77,36678.533418,83798.34,168.43,228.07,396.49,0.0,0.27,0.0,173.543673,13.87,11.68,19031.1,16111.1,
